,Board State,Score,Best Move,Depth
1956,"((-1, 1, 0), (0, 0, 0), (1, 0, 0))",0,"(1, 1)",3
4159,"((0, 0, 0), (-1, 1, 1), (0, 0, 0))",0,"(0, 0)",3
4113,"((0, 0, -1), (0, 1, 1), (0, 0, 0))",0,"(1, 0)",3
3857,"((0, 0, 0), (1, 1, 0), (0, 0, -1))",0,"(1, 2)",3
3858,"((0, 0, 0), (1, 0, 1), (0, 0, -1))",-2,"(1, 1)",3
3859,"((0, 0, 0), (1, 0, 0), (1, 0, -1))",2,"(0, 0)",3
363,"((1, -1, 0), (0, 1, 0), (0, 0, 0))",2,"(0, 2)",3
3860,"((0, 0, 0), (1, 0, 0), (0, 1, -1))",-2,"(0, 2)",3
1977,"((-1, 1, 0), (0, 0, 0), (0, 1, 0))",-2,"(1, 1)",3
4086,"((0, -1, 0), (0, 1, 0), (0, 0, 1))",2,"(0, 0)",3
504,"((1, -1, 0), (0, 0, 0), (0, 0, 1))",0,"(1, 1)",3
497,"((1, -1, 0), (0, 0, 0), (0, 1, 0))",0,"(2, 0)",3
2104,"((0, 1, -1), (0, 1, 0), (0, 0, 0))",0,"(2, 1)",3
475,"((1, -1, 0), (0, 0, 0), (1, 0, 0))",2,"(0, 2)",3
4080,"((0, -1, 0), (0, 1, 0), (0, 1, 0))",0,"(0, 0)",3
3927,"((-1, 0, 0), (0, 1, 1), (0, 0, 0))",0,"(1, 0)",3
2057,"((0, 1, -1), (1, 0, 0), (0, 0, 0))",-2,"(2, 2)",3
1984,"((-1, 1, 0), (0, 0, 0), (0, 0, 1))",0,"(1, 1)",3
3962,"((-1, 0, 0), (0, 1, 0), (1, 0, 0))",0,"(0, 2)",3
439,"((1, -1, 0), (0, 0, 1), (0, 0, 0))",0,"(1, 1)",3
3982,"((-1, 0, 0), (0, 1, 0), (0, 1, 0))",0,"(0, 1)",3
3989,"((-1, 0, 0), (0, 1, 0), (0, 0, 1))",0,"(0, 2)",3
4038,"((0, -1, 0), (0, 1, 1), (0, 0, 0))",2,"(0, 0)",3
3855,"((0, 0, 0), (1, 0, 0), (0, -1, 1))",0,"(1, 1)",3
3854,"((0, 0, 0), (1, 0, 0), (1, -1, 0))",2,"(0, 0)",3
3852,"((0, 0, 0), (1, 0, 1), (0, -1, 0))",-2,"(1, 1)",3
3353,"((0, 0, 1), (1, 0, 0), (0, 0, -1))",0,"(2, 0)",3
3738,"((0, 0, -1), (1, 0, 1), (0, 0, 0))",-2,"(1, 1)",3
1627,"((-1, 1, 1), (0, 0, 0), (0, 0, 0))",-2,"(1, 0)",3
3754,"((0, 0, -1), (1, 0, 0), (1, 0, 0))",-2,"(0, 0)",3
3764,"((0, 0, -1), (1, 0, 0), (0, 1, 0))",-2,"(0, 0)",3
3769,"((0, 0, -1), (1, 0, 0), (0, 0, 1))",0,"(0, 0)",3
2173,"((0, 1, -1), (0, 0, 0), (1, 0, 0))",0,"(1, 1)",3
3783,"((0, 0, 0), (1, -1, 1), (0, 0, 0))",-2,"(0, 0)",3
3793,"((0, 0, 0), (1, -1, 0), (1, 0, 0))",0,"(0, 0)",3
3800,"((0, 0, 0), (1, -1, 0), (0, 1, 0))",0,"(0, 0)",3
3804,"((0, 0, 0), (1, -1, 0), (0, 0, 1))",0,"(0, 0)",3
2188,"((0, 1, -1), (0, 0, 0), (0, 1, 0))",-2,"(1, 1)",3
2148,"((0, 1, -1), (0, 0, 1), (0, 0, 0))",0,"(1, 0)",3
3818,"((0, 0, 0), (1, 1, -1), (0, 0, 0))",0,"(0, 0)",3
3823,"((0, 0, 0), (1, 0, -1), (1, 0, 0))",0,"(0, 0)",3
3827,"((0, 0, 0), (1, 0, -1), (0, 1, 0))",0,"(0, 0)",3
3830,"((0, 0, 0), (1, 0, -1), (0, 0, 1))",0,"(0, 0)",3
4140,"((0, 0, -1), (0, 1, 0), (0, 1, 0))",0,"(0, 1)",3
3836,"((0, 0, 0), (1, 1, 0), (-1, 0, 0))",0,"(1, 2)",3
3841,"((0, 0, 0), (1, 0, 1), (-1, 0, 0))",-2,"(1, 1)",3
3843,"((0, 0, 0), (1, 0, 0), (-1, 1, 0))",0,"(0, 1)",3
3845,"((0, 0, 0), (1, 0, 0), (-1, 0, 1))",0,"(1, 1)",3
4129,"((0, 0, -1), (0, 1, 0), (1, 0, 0))",0,"(0, 0)",3
4145,"((0, 0, -1), (0, 1, 0), (0, 0, 1))",0,"(0, 0)",3
3849,"((0, 0, 0), (1, 1, 0), (0, -1, 0))",2,"(0, 0)",3
3267,"((0, 0, 1), (0, -1, 0), (0, 0, 1))",0,"(1, 2)",3
3350,"((0, 0, 1), (0, 0, 0), (1, -1, 0))",0,"(1, 1)",3
1367,"((1, 0, 0), (0, 0, -1), (0, 1, 0))",0,"(1, 1)",3
1208,"((1, 0, 1), (0, -1, 0), (0, 0, 0))",0,"(0, 1)",3
1370,"((1, 0, 0), (0, 0, -1), (0, 0, 1))",0,"(1, 1)",3
2824,"((-1, 0, 1), (0, 1, 0), (0, 0, 0))",0,"(2, 0)",3
2556,"((0, 1, 0), (0, 0, -1), (0, 0, 1))",0,"(1, 1)",3
2553,"((0, 1, 0), (0, 0, -1), (0, 1, 0))",-2,"(1, 1)",3
2865,"((-1, 0, 1), (0, 0, 1), (0, 0, 0))",2,"(0, 1)",3
1382,"((1, 1, 0), (0, 0, 0), (-1, 0, 0))",2,"(0, 2)",3
2549,"((0, 1, 0), (0, 0, -1), (1, 0, 0))",0,"(1, 1)",3
2544,"((0, 1, 0), (0, 1, -1), (0, 0, 0))",2,"(0, 0)",3
2901,"((-1, 0, 1), (0, 0, 0), (1, 0, 0))",2,"(0, 1)",3
1363,"((1, 0, 0), (0, 0, -1), (1, 0, 0))",2,"(0, 1)",3
