,Board State,Score,Best Move,Depth
144,"((1, -1, 1), (1, 1, 0), (-1, 0, -1))",-2,"(2, 1)",7
145,"((1, -1, 1), (1, 0, 1), (-1, 0, -1))",-2,"(2, 1)",7
146,"((1, -1, 1), (1, 0, 0), (-1, 1, -1))",0,"(1, 1)",7
147,"((1, -1, 1), (1, 0, 0), (-1, 0, -1))",0,"(2, 1)",6
148,"((1, -1, 1), (1, 0, 0), (-1, 0, 0))",-2,"(2, 1)",5
149,"((1, -1, 1), (0, 1, 1), (-1, -1, 0))",-2,"(2, 2)",7
150,"((1, -1, 1), (0, 1, 0), (-1, -1, 0))",2,"(2, 2)",6
151,"((1, -1, 1), (0, 1, 1), (-1, 0, -1))",-2,"(2, 1)",7
152,"((1, -1, 1), (0, 1, 0), (-1, 1, -1))",0,"(1, 0)",7
153,"((1, -1, 1), (0, 1, 0), (-1, 0, -1))",0,"(2, 1)",6
154,"((1, -1, 1), (0, 1, 0), (-1, 0, 0))",0,"(2, 2)",5
155,"((1, -1, 1), (0, 0, 1), (-1, -1, 0))",2,"(2, 2)",6
156,"((1, -1, 1), (0, 0, 1), (-1, 1, -1))",0,"(1, 0)",7
157,"((1, -1, 1), (0, 0, 1), (-1, 0, -1))",0,"(2, 1)",6
158,"((1, -1, 1), (0, 0, 1), (-1, 0, 0))",0,"(2, 2)",5
159,"((1, -1, 1), (0, 0, 0), (-1, 1, -1))",0,"(1, 0)",6
160,"((1, -1, 1), (0, 0, 0), (-1, 1, 0))",0,"(1, 1)",5
161,"((1, -1, 1), (0, 0, 0), (-1, -1, 1))",2,"(1, 1)",6
162,"((1, -1, 1), (0, 0, 0), (-1, 0, 1))",2,"(1, 0)",5
163,"((1, -1, 1), (0, 0, 0), (-1, 0, 0))",2,"(2, 2)",4
164,"((1, -1, 1), (1, 1, 0), (0, -1, -1))",-2,"(2, 0)",7
165,"((1, -1, 1), (1, 0, 1), (0, -1, -1))",-2,"(1, 1)",7
166,"((1, -1, 1), (1, 0, 0), (0, -1, -1))",2,"(2, 0)",6
167,"((1, -1, 1), (1, 0, 0), (0, -1, 0))",-2,"(1, 1)",5
168,"((1, -1, 1), (0, 1, 1), (0, -1, -1))",-2,"(2, 0)",7
169,"((1, -1, 1), (0, 1, 0), (0, -1, -1))",2,"(2, 0)",6
170,"((1, -1, 1), (0, 1, 0), (0, -1, 0))",2,"(1, 0)",5
171,"((1, -1, 1), (0, 0, 1), (1, -1, -1))",-2,"(1, 1)",7
172,"((1, -1, 1), (0, 0, 1), (0, -1, -1))",-2,"(1, 0)",6
173,"((1, -1, 1), (0, 0, 1), (0, -1, 0))",-2,"(1, 1)",5
174,"((1, -1, 1), (0, 0, 0), (1, -1, -1))",2,"(1, 0)",6
175,"((1, -1, 1), (0, 0, 0), (1, -1, 0))",-2,"(1, 1)",5
176,"((1, -1, 1), (0, 0, 0), (0, -1, 1))",-2,"(1, 1)",5
177,"((1, -1, 1), (0, 0, 0), (0, -1, 0))",2,"(1, 1)",4
178,"((1, -1, 1), (1, 0, 0), (0, 0, -1))",0,"(2, 0)",5
179,"((1, -1, 1), (0, 1, 0), (0, 0, -1))",0,"(2, 0)",5
180,"((1, -1, 1), (0, 0, 1), (0, 0, -1))",-2,"(2, 1)",5
181,"((1, -1, 1), (0, 0, 0), (1, 0, -1))",2,"(1, 0)",5
182,"((1, -1, 1), (0, 0, 0), (0, 1, -1))",0,"(1, 0)",5
183,"((1, -1, 1), (0, 0, 0), (0, 0, -1))",2,"(2, 0)",4
184,"((1, -1, 1), (0, 0, 0), (0, 0, 0))",0,"(1, 1)",3
185,"((1, -1, -1), (1, 1, -1), (-1, 1, 0))",2,"(2, 2)",8
186,"((1, -1, -1), (1, 1, -1), (0, 1, 0))",-2,"(2, 2)",7
187,"((1, -1, -1), (1, 1, -1), (0, 0, 0))",2,"(2, 0)",6
188,"((1, -1, -1), (1, 1, 0), (-1, 1, -1))",2,"(1, 2)",8
189,"((1, -1, -1), (1, 1, 0), (-1, 1, 0))",2,"(1, 2)",7
190,"((1, -1, -1), (1, 1, 0), (-1, 0, 0))",2,"(1, 2)",6
191,"((1, -1, -1), (1, 1, 0), (0, -1, 0))",2,"(1, 2)",6
192,"((1, -1, -1), (1, 1, 0), (0, 1, -1))",-2,"(1, 2)",7
193,"((1, -1, -1), (1, 1, 0), (0, 0, -1))",2,"(1, 2)",6
194,"((1, -1, -1), (1, 1, 0), (0, 0, 0))",2,"(1, 2)",5
195,"((1, -1, -1), (1, -1, 1), (0, 1, -1))",2,"(2, 0)",8
196,"((1, -1, -1), (1, -1, 1), (0, 1, 0))",-2,"(2, 0)",7
197,"((1, -1, -1), (1, -1, 1), (0, 0, 1))",-2,"(2, 0)",7
198,"((1, -1, -1), (1, -1, 1), (0, 0, 0))",2,"(2, 0)",6
199,"((1, -1, -1), (1, 0, 1), (-1, 1, -1))",2,"(1, 1)",8
200,"((1, -1, -1), (1, 0, 1), (-1, 1, 0))",-2,"(1, 1)",7
201,"((1, -1, -1), (1, 0, 1), (-1, -1, 1))",2,"(1, 1)",8
202,"((1, -1, -1), (1, 0, 1), (-1, 0, 1))",-2,"(1, 1)",7
203,"((1, -1, -1), (1, 0, 1), (-1, 0, 0))",2,"(1, 1)",6
204,"((1, -1, -1), (1, 0, 1), (0, -1, 1))",-2,"(1, 1)",7
205,"((1, -1, -1), (1, 0, 1), (0, -1, 0))",2,"(1, 1)",6
206,"((1, -1, -1), (1, 0, 1), (0, 1, -1))",2,"(1, 1)",7
207,"((1, -1, -1), (1, 0, 1), (0, 0, -1))",2,"(1, 1)",6
208,"((1, -1, -1), (1, 0, 1), (0, 0, 0))",2,"(1, 1)",5
209,"((1, -1, -1), (1, -1, -1), (0, 1, 1))",2,"(2, 0)",8
210,"((1, -1, -1), (1, -1, 0), (0, 1, 1))",-2,"(2, 0)",7
211,"((1, -1, -1), (1, -1, 0), (0, 1, 0))",2,"(2, 0)",6
212,"((1, -1, -1), (1, 0, -1), (-1, 1, 1))",2,"(1, 1)",8
213,"((1, -1, -1), (1, 0, -1), (0, 1, 1))",2,"(1, 1)",7
214,"((1, -1, -1), (1, 0, -1), (0, 1, 0))",2,"(2, 0)",6
215,"((1, -1, -1), (1, 0, 0), (-1, 1, 1))",-2,"(1, 1)",7
216,"((1, -1, -1), (1, 0, 0), (-1, 1, 0))",2,"(1, 1)",6
217,"((1, -1, -1), (1, 0, 0), (0, 1, -1))",2,"(1, 2)",6
218,"((1, -1, -1), (1, 0, 0), (0, 1, 0))",2,"(1, 1)",5
219,"((1, -1, -1), (1, -1, 0), (0, 0, 1))",2,"(2, 0)",6
220,"((1, -1, -1), (1, 0, -1), (0, 0, 1))",2,"(1, 1)",6
